title,abstract
"The Psychophysiology of Political Ideology: Replications, Reanalyses, and Recommendations","This article presents a large-scale, empirical evaluation of the psychophysiological correlates of political ideology and, in particular, the claim that conservatives react with higher levels of electrodermal activity to threatening stimuli than liberals. We (1) conduct two large replications of this claim, using locally representative samples of Danes and Americans; (2) reanalyze all published studies and evaluate their reliability and validity; and (3) test several features to enhance the validity of psychophysiological measures and offer a number of recommendations. Overall, we find little empirical support for the claim. This is caused by significant reliability and validity problems related to measuring threat sensitivity using electrodermal activity. When assessed reliably, electrodermal activity in the replications and published studies captures individual differences in the physiological changes associated with attention shifts, which are unrelated to ideology. In contrast to psychophysiological reactions, self-reported emotional reactions to threatening stimuli are reliably associated with ideology."
"Disparities in a Flagship Political Science Journal? Analyzing Publication Patterns in the Journal of Politics, 1939–2019","This article adds to ongoing discussions about the gender gap in political science publishing. Through a systematic examination of 80 years worth of data, I show how evolving trends in authorship and coauthorship have changed the nature of publishing in the Journal of Politics. I build on previous studies by incorporating into this analysis a decade’s worth of submission data provided to me by the journal. Second, I use a latent Dirichlet allocation topic model to identify how the content of published articles has shifted in recent decades. I describe how these moves have affected the publication prospects of both men and women. Although progress has been made, the balance of evidence suggests that there remains unevenness in terms of both who and what is published in the pages of the Journal of Politics."
Gendered Political Contexts: The Gender Gap in Political Knowledge,"What explains the gender gap in political knowledge found by surveys across different contexts? This article proposes that female political representation affects the levels of knowledge expressed by men and women and, ultimately, the gender gap. The underrepresentation of women makes gender stereotypes salient, and these in turn affect how much cognitive effort individuals put into thinking about politics. Moreover, I argue that surveys are often responsible for enhancing the effect of those considerations. I analyze cross-national survey data from 120 countries to test whether the gap in knowledge decreases as female representation increases across countries. Then, I manipulate the gender composition of feeling thermometer batteries in a survey experiment with American subjects to test whether priming considerations about female representation affects respondents’ performance on knowledge questions. The findings suggest an explanation for why surveys often reveal gender differences in knowledge and a mechanism connecting women’s representation and public opinion."
"Self-Confidence and Gender Gaps in Political Interest, Attention, and Efficacy","Compared to men, women are less interested in politics, less likely to follow current events, and more pessimistic about their abilities to be influential in politics. I explore the origins of these gender gaps. I argue that feelings of self-confidence serve as a resource that encourages psychological engagement with politics. But because this resource is more likely to be possessed by men than by women, it contributes to gender gaps in political interest, attention to politics, and internal efficacy. By examining surveys of both young people and adults, I demonstrate that gender’s effects on psychological engagement with politics are partially mediated by feelings of self-confidence. While prior studies emphasize the importance of resources like education for cultivating political engagement, I show that self-confidence is an important psychological asset that promotes political interest, attention, and feelings of personal competence in politics."
Adam Smith on Political Judgment: Revisiting the Political Theory of the Wealth of Nations,"How should the ordinary citizens of commercial societies navigate increasingly complex political landscapes characterized by global markets, specialization, and manipulation by special interests? In this article, I refer to the gap between the demands of political judgment and the capacities of ordinary citizens as the “political judgment problem,” and I argue, drawing on Adam Smith’s Wealth of Nations, that versions of this problem have existed since the early days of commercial society. By reconstructing Smith’s account of collective action by ordinary citizens, we can better understand the importance of political judgment to Smith’s political theory. Attending to it uncovers both classical solutions to the political judgment problem and a series of underappreciated modern answers focused on lowering the cognitive burdens of political judgment such as creating alternatives to partisan cues in public deliberation, reforming ideological shortcuts, and simplifying the multidimensional political space."
Signaling Sophistication: How Social Expectations Can Increase Political Information Acquisition,"Information plays an integral role in theories of political behavior. However, little is known about why—if ever—voters choose to acquire political information. This article proposes that voters strategically acquire costly political information to cultivate a reputation among their peers as politically sophisticated. I test this theory in Mexico using experimental and observational research designs that exogenously vary the likelihood that individuals’ peers observe the political knowledge they possess. The results demonstrate that social incentives significantly increase political knowledge among voters nested within groups that collectively value political knowledge. Consistent with the model, I find that relatively unsophisticated voters seek to reach a minimum standard within their social group, while more sophisticated voters acquire higher levels of information to differentiate themselves from less informed peers. These findings indicate that social networks can increase informed participation in a major nonconsolidated democracy, but they also highlight how politically disengaged networks can generate information traps."
Does Homeownership Influence Political Behavior? Evidence from Administrative Data,"We combine deed-level data on homeownership with administrative data on voter turnout in local and national elections for more than 18 million individuals in Ohio and North Carolina. Using a difference-in-differences design, we find that buying a home leads individuals to participate substantially more in local elections, on average. We also collect data on local ballot initiatives, and we find that the homeowner turnout boost is almost twice as large in times and places where zoning issues are on the ballot. In addition, the effect of homeownership increases with the price of the home purchase, suggesting that asset investment may be an important mechanism for the participatory effects. Overall, the results suggest that individual economic circumstances importantly influence political beliefs and behavior and suggest that homeowners have special influence in American politics in part because their ownership motivates them to pay attention and participate."
How Dispositional Empathy Influences Political Ambition,"Political representation is fundamentally about advancing the needs and interests of others. Empathy—the ability to share others’ feelings and perspectives—ought to be a critical skill for effective representation. Yet the conflict, negativity, and competition that are endemic to politics may prevent empathetic individuals from seeking office. Using an original national survey with an oversample of people who have run for office, we explore how citizens’ dispositional empathy influences political ambition. We show that perspective-taking increases ambition, while personal distress depresses ambition. By analyzing feelings toward several different aspects of running for and holding political office, we show the mechanisms through which empathy affects ambition. Finally, we demonstrate that experimentally manipulated perceptions of campaign context moderate the effects of empathy on ambition. Our results provide new insight into how psychological factors interact with political context to shape ambition and hold important implications for the quality of representation."
The Gendered Effects of Violence on Political Engagement,"How does civil conflict affect political engagement? As violence of various forms—from war to terrorism—is becoming more frequent even in the developed world, understanding its political consequences is a pressing concern. We argue that violence makes citizens view politics as more combative and aggressive. Because the traits that align with these perceptions (e.g., dominance, aggressiveness, decisiveness) are associated more with masculinity than femininity, we hypothesize that violence increases engagement among men while reducing it among women. To test our argument, we conduct an experiment in Bosnia (N=1,125), the site of a major ethnic civil war in 1992–95. The evidence confirms that past violence, when made salient, leads women to express significantly less and men significantly more desire to engage in politics. We conclude from these findings that violent conflict can introduce disparities in political engagement across gender, underscoring a significant challenge policy makers face in postconflict societies."
The Continuity of Ethics and Political Theory,"What is the relationship between ethics and political theory? In particular, is the study of interpersonal and social morality continuous with inquiry into how we should lead our political lives? This article evaluates the call for firmer boundaries between moral and political thought that is central to recent realist critiques of analytical political theory. I identify, and reject, three versions of this position, which I term “discontinuity realism.” My critique draws attention to an important silence within discontinuity realism, concerning how its call to address politics from within relates to the feminist insight that politics is deeply intertwined with our personal choices and interpersonal relationships. The article goes on to defend an alternative “continuity” approach to the study of ethics and political theory. This approach better realizes the realist’s own aspiration for greater sensitivity to empirical detail in normative political theory."
