title,abstract
Respiratory Sinus Arrhythmia Mediates the Relation Between “Specific Math Anxiety” and Arithmetic Speed,"There is a growing consensus that math anxiety highly correlates with trait anxiety and that the emotional component elicited by math anxiety affects math performance. Yet few studies have examined the impact of “specific math anxiety” (high math anxiety and low other kinds of anxiety) on math performance and the underlying physiological and affective mechanism. The present study examines the mediation effect of heart rate variability—an affective measurement indexed by respiratory sinus arrhythmia (RSA)—in the relationship between specific math anxiety and arithmetic speed. A total of 386 junior high school students completed a self-reported questionnaire to measure their anxiety level. Among this sample, 29 individuals with specific math anxiety (high math anxiety and low reading and trait anxiety), 29 with specific reading anxiety (high reading anxiety and low math and trait anxiety), 24 with specific trait anxiety (high trait anxiety and low math and reading anxiety), and 22 controls (low math, trait and reading anxiety) were selected to participate in an arithmetic task and a reading task while RSA was recorded when they performed the tasks. Results revealed that individuals with specific math anxiety showed lower RSA and longer reaction time than the other three groups in the arithmetic task. Regression and mediation analyses further revealed that RSA mediated the relation between specific math anxiety and arithmetic speed. The present study provides the first account of evidence for the affective hypothesis of specific math anxiety and suggests that affective responses may be an important mechanism underlying the detrimental effect of specific math anxiety on math performance."
Application of the Stress and Anxiety to Viral Epidemics-6 (SAVE-6) and Coronavirus Anxiety Scale (CAS) to Measure Anxiety in Cancer Patient in Response to COVID-19,"This study investigated the usefulness of the six-item Stress and Anxiety to Viral Epidemics (SAVE-6) scale and the Coronavirus Anxiety Scale (CAS) as tools to assess anxiety related to coronavirus disease (COVID-19) in cancer patients. A total of 221 patients with cancer responded to an anonymous online questionnaire between 15 July and 15 August 2020. The functional impairment of the patients was assessed using the Work and Social Adjustment Scale (WSAS), and the SAVE-6 and CAS were also applied. Among these 221 cancer patients, 110 (49.8%) had SAVE-6 scores ≥ 15 and 21 (9.5%) had CAS scores ≥ 5. Within the study population, 104 (47.1%) and 29 (13.1%) patients had WSAS scores ≥ 11 (moderate to severe functional impairment) and ≥ 21 (severe functional impairment), respectively. The correlations between the SAVE-6 and WSAS (p < 0.001) and CAS (p < 0.001) scores were statistically significant. The cut-off for the SAVE-6 was 15 points, while that for the WSAS was 11. Our results suggested that the SAVE-6 and CAS could be used to evaluate moderate and severe degrees of functional impairment related to mental health, respectively, in cancer patients during viral epidemics."
"Facing Anxiety, Growing Up. Trait Emotional Intelligence as a Mediator of the Relationship Between Self-Esteem and University Anxiety","The current study analyzed how trait emotional intelligence (trait EI) mediates the relationship between self-esteem and state anxiety and trait anxiety. The sample was composed of 153 undergraduate students from the University of Cádiz, Spain (71.9% women and 28.1% men). Students completed measures of self-esteem, state anxiety, trait anxiety, and trait EI. Mediation analyses were completed with three trait EI dimensions (EA, emotional attention; EC, emotional clarity; and MR, mood repair) as mediating variables, self-esteem as the independent variable, and state anxiety and trait anxiety as the dependent ones. Our results confirmed that self-esteem scores explained and predicted both, state and trait anxiety values (13% for state and 21% for trait anxiety). This explanatory capacity is increased by 8% when accounting for all trait EI dimensions. Considering state anxiety, the results of the direct effects showed that a decrease in their levels is predicted through the increases in the levels of both, self-esteem and MR. Regarding trait anxiety, the results of the direct effects showed that a decrease in their levels is predicted, in addition to an increment of self-esteem and MR values, by an increase of EC and a decrease of EA. Conversely, indirect effects revealed that higher levels of self-esteem were associated with worse scores in EA and worse MR, which in turn would enhance both state and trait anxiety levels. Moreover, regarding trait anxiety higher levels of self-esteem were associated with worse scores in EA and worse EC, therefore increasing trait anxiety levels. As shown, the negative association found between self-esteem and EA becomes a key element. The effect of self-esteem on EA and the influence that the latter had on EC and MR exerts an indirect mediated effect with the power to invert the influence that self-esteem wields on both types of anxiety. In this sense, the apparent protective role of self-esteem changed, turning into a risk factor that promotes higher anxiety values."
"
","
"
Math anxiety in second and third graders and its relation to mathematics achievement,"Although the detrimental effects of math anxiety in adults are well understood, few studies have examined how it affects younger children who are beginning to learn math in a formal academic setting. Here, we examine the relationship between math anxiety and math achievement in second and third graders. In response to the need for a grade-appropriate measure of assessing math anxiety in this group we first describe the development of Scale for Early Mathematics Anxiety (SEMA), a new measure for assessing math anxiety in second and third graders that is based on the Math Anxiety Rating Scale. We demonstrate the construct validity and reliability of the SEMA and use it to characterize the effect of math anxiety on standardized measures of math abilities, as assessed using the Mathematical Reasoning and Numerical Operations subtests of the Wechsler Individual Achievement Test (WIAT-II). Math achievement, as measured by the WIAT-II Math Composite score, was significantly and negatively correlated with SEMA but not with trait anxiety scores. Additional analyses showed that SEMA scores were strongly correlated with Mathematical Reasoning scores, which involves more complex verbal problem solving. SEMA scores were weakly correlated with Numerical Operations which assesses basic computation skills, suggesting that math anxiety has a pronounced effect on more demanding calculations. We also found that math anxiety has an equally detrimental impact on math achievement regardless of whether children have an anxiety related to numbers or to the situational and social experience of doing math. Critically, these effects were unrelated to trait anxiety, providing the first evidence that the specific effects of math anxiety can be detected in the earliest stages of formal math learning in school. Our findings provide new insights into the developmental origins of math anxiety, and further underscore the need to remediate math anxiety and its deleterious effects on math achievement in young children."
"
","
"
Perceived Social Support Protects Lonely People Against COVID-19 Anxiety: A Three-Wave Longitudinal Study in China,"The isolation necessary to prevent the spread of the coronavirus disease 2019 (COVID-19) can give rise to anxiety, especially for lonely people who often feel upset without others’ company. Although isolated from others, people can still receive support from others, which might lower their COVID-19 anxiety. To examine the relationship between loneliness, perceived social support, and anxiety, we measured 222 Chinese participants’ (54.50% female, Mage = 31.53, SD = 8.17) trait loneliness, chronic anxiety before the outbreak, COVID-19 anxiety at the peak and decline stages of COVID-19, and their perceived social support across the three time points. The results showed that people’s perceived social support dramatically increased from the pre-pandemic to the peak COVID-19 stage, and remained stable during the decline of COVID-19 stage. In contrast, COVID-19 anxiety decreased from the peak to the decline stage. Further, perceived social support consistently moderated the relationship between loneliness with both chronic anxiety and COVID-19 anxiety. The current study provides initial evidence that perceived social support provides protection for lonely people in daily life as well as during unexpected disasters, which will contribute to finding ways to alleviate lonely people’s anxiety during this global health crisis."
The Influence of Family Function on State Anxiety of Chinese College Students During the Epidemic of COVID-19,"The Coronavirus Disease 2019 (COVID-19) may affect mental health. There is little research about the influence of family function on the state anxiety of college students in the context of the global pandemic. The study aimed to clarify that generalized anxiety disorder (GAD) and trait anxiety had mediating effects in family function on the state anxiety of Chinese college students following the “stay-at-home” order during the outbreak of COVID-19. This cross-sectional study was conducted online with 1,039 respondents. We analyzed demographics, The State-Trait Anxiety Inventory (ST-AI) and Chinese Family Function Scale (FAD-18), Generalized Anxiety Disorder-7 (GAD-7), and used path analysis to discuss the influence of family function on state and trait anxiety. The results showed that female students’ state and trait anxiety was higher than that of male students (P < 0.05). Medical students’ state and trait anxiety was lower than that of literature students (P < 0.05). The GAD of the male was lower compared with the female. The score of family function has significant differences in gender, age, education, and region (P < 0.05). Gender, family function, state anxiety, trait anxiety, and GAD relate to others (r = 0.07∼0.85, p < 0.05). The results of fit indices for measurement invariance models showed that the impact of family function among GAD, state and trait anxiety across gender is significantly different (each step p < 0.05). GAD and trait anxiety had a complete meditating effect between family function and state anxiety (the proportion of standard indirect mediating effect was 24.94% in females and 36.79% in males). A healthy family function may alleviate GAD and anxiety of college students during the COVID-19 pandemic."
"
","
"
The Academic Anxiety Inventory: Evidence for Dissociable Patterns of Anxiety Related to Math and Other Sources of Academic Stress,"Anxiety about mathematics can have detrimental effects on performance and understanding, yet little research has investigated how math anxiety is related to other types of anxiety. Here we develop the Academic Anxiety Inventory (AAI), an efficient and valid self-report measure designed to test math anxiety, as well as differentiate anxiety associated with mathematics from other contributions of anxiety across various academic domains. In Study 1, we isolated items that independently measure each domain of anxiety, reducing the overlapping variance between math anxiety and other constructs, and determining which components can or cannot be differentiated. Studies 2 and 3 demonstrate that the AAI is consistent and reliable for undergraduate and adolescent populations. In Study 3, anxiety-related performance deficits in a high school math class were associated with scores the AAI-Math subscale. In Study 4, the AAI-Math subscale was associated with perceptions of increased mathematical complexity, decreased estimations of accuracy, and increased negative emotion when participants viewed mathematical expressions. Across four studies, we demonstrate the AAI is a reliable and valid measure of math anxiety and other domains of academic anxiety, providing an efficient questionnaire to determine areas in which students may require extra support in order to reach their full potential."
"Math Anxiety Is Related to Some, but Not All, Experiences with Math","Math anxiety has been defined as unpleasant feelings of tension and anxiety that hinder the ability to deal with numbers and math in a variety of situations. Although many studies have looked at situational and demographic factors associated with math anxiety, little research has looked at the self-reported experiences with math that are associated with math anxiety. The present study used a mixed-methods design and surveyed 131 undergraduate students about their experiences with math through elementary school, junior high, and high school, while also assessing math anxiety, general anxiety, and test anxiety. Some reported experiences (e.g., support in high school, giving students plenty of examples) were significantly related to the level of math anxiety, even after controlling for general and test anxiety, but many other factors originally thought to be related to math anxiety did not demonstrate a relation in this study. Overall, this study addresses a gap in the literature and provides some suggestive specifics of the kinds of past experiences that are related to math anxiety and those that are not."
The Role of Experiential Avoidance and Parental Control in the Association Between Parent and Child Anxiety,"Parenting behavior and practices contribute to the intergenerational relationship between parent and child anxiety, with parental control being a consistent predictor of child anxiety. Parental experiential avoidance refers to how a parent copes with their internal world in the context of parenting. Little is known about how this relatively new parenting concept relates to child anxiety. The current study tested the indirect effect of parent anxiety on child anxiety through parental control and parental experiential avoidance; the indirect effect of parent anxiety on parental control through parental experiential avoidance; and the moderating effect of parental experiential avoidance on the relationship between parental control and child anxiety. Using a cross-sectional design, parents (N = 85) from a community sample of 8–12-year-old children self-reported on a survey measuring parent anxiety, child anxiety, parental control, and parental experiential avoidance. A hierarchical regression indicated that parental experiential avoidance significantly predicted child anxiety and accounted for further variance in child anxiety, over, and above parental control. There was an indirect effect of parent anxiety on child anxiety through parental control and parental experiential avoidance. Parental experiential avoidance moderated the relationship between parental control and child anxiety, such that the relationship was only significant at high levels of parental experiential avoidance. The current study provides support for the role of parental experiential avoidance in an intergenerational understanding of anxiety. Future research should replicate the study with a clinical sample. Theoretical and practice implications are considered."
Mathematics Anxiety and Statistics Anxiety. Shared but Also Unshared Components and Antagonistic Contributions to Performance in Statistics,"In many social science majors, e.g., psychology, students report high levels of statistics anxiety. However, these majors are often chosen by students who are less prone to mathematics and who might have experienced difficulties and unpleasant feelings in their mathematics courses at school. The present study investigates whether statistics anxiety is a genuine form of anxiety that impairs students' achievements or whether learners mainly transfer previous experiences in mathematics and their anxiety in mathematics to statistics. The relationship between mathematics anxiety and statistics anxiety, their relationship to learning behaviors and to performance in a statistics examination were investigated in a sample of 225 undergraduate psychology students (164 women, 61 men). Data were recorded at three points in time: At the beginning of term students' mathematics anxiety, general proneness to anxiety, school grades, and demographic data were assessed; 2 weeks before the end of term, they completed questionnaires on statistics anxiety and their learning behaviors. At the end of term, examination scores were recorded. Mathematics anxiety and statistics anxiety correlated highly but the comparison of different structural equation models showed that they had genuine and even antagonistic contributions to learning behaviors and performance in the examination. Surprisingly, mathematics anxiety was positively related to performance. It might be that students realized over the course of their first term that knowledge and skills in higher secondary education mathematics are not sufficient to be successful in statistics. Part of mathematics anxiety may then have strengthened positive extrinsic effort motivation by the intention to avoid failure and may have led to higher effort for the exam preparation. However, via statistics anxiety mathematics anxiety also had a negative contribution to performance. Statistics anxiety led to higher procrastination in the structural equation model and, therefore, contributed indirectly and negatively to performance. Furthermore, it had a direct negative impact on performance (probably via increased tension and worry in the exam). The results of the study speak for shared but also unique components of statistics anxiety and mathematics anxiety. They are also important for instruction and give recommendations to learners as well as to instructors."
"
","
"
"The Association Between the 5Cs and Anxiety—Insights From Three Countries: Portugal, Slovenia, and Spain","Several of the most frequent psychological difficulties in childhood and adolescence are related to anxiety and lead to numerous short- and long-term negative outcomes in emotional, social, and academic domains. Empirical evidence consistently shows that the 5Cs (competence, caring, confidence, connection, and character) of Positive Youth Development (PYD) are positively related to adolescents’ contribution to self, family, and society as well as negatively related to risky behaviors and emotional difficulties, such as anxiety. Thus, the PYD can be one of the models that informs prevention programs. To provide contextualized, data-driven support for prevention efforts, we have analyzed the predictive value of the 5Cs for anxiety and anxiety dimensions using three different convenience youth samples from Portugal (N = 384, 46.6% female), Slovenia (N = 449, 69% females), and Spain (N = 768; 60.5% females). To assess the 5Cs, we used the same short form of the PYD scale in all samples (Geldhof et al., 2013) and different anxiety measures across samples: the Multidimensional Anxiety Scale for Children (MASC) in Portugal, the Lestvica anksioznosti za otroke in mladostnike anxiety scale (LAOM) in Slovenia and the Generalized Anxiety Disorder-7 (GAD-7) in Spain. The findings show significant associations of PYD and anxiety across all three contexts with all three different anxiety measures used. The associations vary across countries emphasizing the need to further research the role of contexts in anxiety prevention. Despite variations the results do indicate that connection is negatively associated with anxiety in all three contexts using the three anxiety measures, while confidence is a negative predictor and caring is a positive predictor of anxiety in Slovenia and Spain. Implications for practice within an educational framework for adolescents and youth are discussed, together with public policy recommendations."
Gender Differences Regarding the Impact of Math Anxiety on Arithmetic Performance in Second and Fourth Graders,"The development of math skills is crucial for adequate functioning in academic and professional settings as well as in daily life. A factor that has been shown to negatively influence performance and acquisition of math skills is math anxiety. With the high prevalence of math anxiety in society and the long lasting effects on math performance, it is important to study the relation between math anxiety and math performance in young children. Since math anxiety is often more pronounced in women than in men, it is essential to take the effect of gender into account. While the effect of gender on the relation between math anxiety and math performance has been studied in adults and adolescents, less research has focused on children, especially children at young ages. To fill this gap, the current study examined how the relation between math anxiety and math performance differed between boys and girls in early elementary school years. Math anxiety and math performance was assessed in 124 second- and fourth-grade children (67 girls and 57 boys). Although boys and girls showed more or less equal levels of math anxiety and performed similarly at the arithmetic task, correlation analyses showed that only in girls, math anxiety significantly correlated with math performance. Analyses investigating if math anxiety moderated the effect of gender and grade on math performance revealed significant differences between boys and girls. Higher levels of math anxiety only significantly and negatively moderated math performance in girls, with the greatest effect observed in 2nd grade girls. These findings highlight the importance of taking gender differences into account when studying the effect of math anxiety. The results showed that math anxiety is already negatively linked to math performance in girls as early as second grade. The present findings emphasize the importance of the early identification and remediation of math anxiety in girls to prevent long lasting effects. Possible causes for the gender related differences will be discussed."
Mathematics Anxiety: What Have We Learned in 60 Years?,"The construct of mathematics anxiety has been an important topic of study at least since the concept of “number anxiety” was introduced by Dreger and Aiken (1957), and has received increasing attention in recent years. This paper focuses on what research has revealed about mathematics anxiety in the last 60 years, and what still remains to be learned. We discuss what mathematics anxiety is; how distinct it is from other forms of anxiety; and how it relates to attitudes to mathematics. We discuss the relationships between mathematics anxiety and mathematics performance. We describe ways in which mathematics anxiety is measured, both by questionnaires, and by physiological measures. We discuss some possible factors in mathematics anxiety, including genetics, gender, age, and culture. Finally, we describe some research on treatment. We conclude with a brief discussion of what still needs to be learned."
"Psychometric Properties of the SAS, BAI, and S-AI in Chinese University Students","Three widely-used self-report anxiety scales, including the Self-Rating Anxiety Scale (SAS), the Beck Anxiety Inventory (BAI), and the State Anxiety Inventory (S-AI), were used to simultaneously compare the psychometric properties via an item response theory (IRT) model with Chinese university students as the sample. Although these scales were probably to measure the same underlying construct, namely, anxiety, their psychometric properties were different. Results showed that the BAI’s measurement error was fewer than that of the other scales, with their anxiety severity ranging approximately from the 0.8 standard deviations below the mean to 3 standard deviations above the mean, while the S-AI’s measurement error was fewer than that of the other degrees of anxiety. The S-AI provided more information than the other scales when the student’s scale was less than approximately 0.8 standard deviations below the mean of anxiety severity. In general, the BAI showed better, for it provided more information than the other scales at the broadest range of anxiety severity. The SAS provided less information than the other scales at all anxiety severity range. In conclusion, BAI shows good psychometric quality. Finally, the three instruments were combined on a common scale by using IRT model and a conversion table was provided so as to achieve the transformation of each scale score."
"
","
"
"Workplace Bullying, Anxiety, and Job Performance: Choosing Between “Passive Resistance” or “Swallowing the Insult”?","Anxiety arising from workplace bullying is a key concern for job performance. Anxiety can explain the effects of workplace bullying: individuals may seek to deal with their anxiety by applying specific behaviors. However, anxiety research does not carefully distinguish between state anxiety and trait anxiety, and so the impact of anxiety in general has been seen as complex and contradictory. Individuals may respond to bullying and anxiety through “passive resistance” or by “swallowing the insult.” However, under what circumstances do individuals choose between these options? This paper summarizes the mechanisms of state anxiety and trait anxiety and uses cognitive balance theory to measure loss of self-control and the strategic choices. A moderated mediation model is presented for the relationship between workplace bullying and job performance using key variables of state anxiety and trait anxiety. Employee-supervisor pairs from 20 organizations and institutions from Tianjin, Jiangsu, and Hainan participated in a two-point longitudinal survey in 2019, 82.67% effective. Analysis verified that trait anxiety is the decisive perspective for choosing between “passive resistance” and “swallowing the insult.” This provides theoretical and practical contributions to psychology and organizational behavior research."
