id,title,abstract
9495350,V2I based environment perception for autonomous vehicles at intersections,"In recent years, autonomous driving technology has made good progress, but the noncooperative intelligence of vehicle for autonomous driving still has many technical bottlenecks when facing urban road autonomous driving challenges. V2I (Vehicle-to-Infrastructure) communication is a potential solution to enable cooperative intelligence of vehicles and roads. In this paper, the RGB-PVRCNN, an environment perception framework, is proposed to improve the environmental awareness of autonomous vehicles at intersections by leveraging V2I communication technology. This framework integrates vision feature based on PVRCNN. The normal distributions transform(NDT) point cloud registration algorithm is deployed both on onboard and roadside to obtain the position of the autonomous vehicles and to build the local map objects detected by roadside multi-sensor system are sent back to autonomous vehicles to enhance the perception ability of autonomous vehicles for benefiting path planning and traffic efficiency at the intersection. The field-testing results show that our method can effectively extend the environmental perception ability and range of autonomous vehicles at the intersection and outperform the PointPillar algorithm and the VoxelRCNN algorithm in detection accuracy."
8468054,A Rotation-Free Wireless Power Transfer System With Stable Output Power and Efficiency for Autonomous Underwater Vehicles,"This letter proposes a rotation-free wireless power transfer system based on a new coil structure to achieve stable output power and efficiency against rotational misalignments for charging autonomous underwater vehicles. The new coil structure has two decoupled receivers composed of two reversely wound receiver coils and the magnetic flux directions of the two receivers are perpendicular to each other, guaranteeing a relatively constant total mutual inductance and a decoupled characteristic under rotational misalignments. The proposed coil structure is verified via finite element analysis based on ANSYS Maxwell. A rotation-free LCC-LCC compensated WPT prototype is built and the experimental results verify the theoretical analysis and simulations. The system can deliver 664 W with a dc-dc efficiency of 92.26% under the best case and 485 W with a 92.10% dc-dc efficiency under the worst case."
9267905,An Adaptive Mapping Strategy for Autonomous Underwater Vehicles,"This paper specifically focuses on the control of autonomous underwater vehicles (AUVs) in mapping ocean processes. An adaptive control algorithm is proposed in this paper to control the heading of an AUV. The algorithm can be used to control a scout AUV typically used in multi-vehicle strategies to search for areas with potential rich information before secondary vehicles are called to further investigate the areas. Two control algorithms, proportional, integral and derivative (PID) and fuzzy logic, were compared based on their simplicity and practicality to be applied in the proposed adaptive sampling strategy. Simulation results indicated that the proposed strategy had the potential to be used for mapping oceanographic features in field trials. The results also showed that the fuzzy logic control was less sensitive to the change in its parameters compared to the PID when used in the proposed algorithm."
9714944,Autonomous Vehicle: What Legal Issues?,"stract:
The debate on the regulation of the so‐called “autonomous” vehicle is raging and is a hot topic for both the general public and professionals in the sector, such as car manufacturers and innovative companies. The autonomous vehicle is a vehicle capable of reacting by itself, in accordance with specific rules. The notion of the “driver” is a major one in the law of civil liability. It is indeed around this key component that road regulations were built. Legal custody is characterized by the powers of use, control and direction that a person exercises over a thing or a person. The distinction made between the driver and non‐driver should be abolished in order to provide for a more uniform compensation scheme reflecting different cases, integrating the concept of “passenger”, in particular. The implementation of optional insurance alongside compulsory insurance is perfectly possible in regard to autonomous vehicles."
9317333,An Autonomous Vehicle Motion Planning Method based On Dynamic Programming,"In this article, we propose a new approach to solve local motion planning problem in autonomous vehicle field. Instead of generating several primitives and choosing the optimal trajectory from that, we get the future T time step horizon's vehicle state, and fit that into clothoid local trajectory by solving a dynamic programming problem. The trajectory generated is smooth enough and meet both ego vehicle's dynamics and traffic regulation's constraints. Iterate this process, the ego autonomous vehicle can obtain its future trajectory continuously. This method has a good performance in the simulation using Matlab and Prescan. This method has fast computing speed to apply on autonomous vehicle driving in real road online compared to other methods."
9334665,A Maneuver-based Urban Driving Dataset and Model for Cooperative Vehicle Applications,"Short-term future of automated driving can be imagined as a hybrid scenario in which both automated and human-driven vehicles co-exist in the same environment. In order to address the needs of such road configuration, many technology solutions such as vehicular communication and predictive control for automated vehicles have been introduced in the literature. Both aforementioned solutions rely on driving data of the human driver. In this work, we investigate the currently available driving datasets and introduce a real-world maneuver-based driving dataset that is collected during our urban driving data collection campaign. We also provide a model that embeds the patterns in maneuver-specific samples. Such model can be employed for classification and prediction purposes."
9359043,Development of a Prototype EV Autonomous Vehicle for Systematic Research,"The advent of artificial intelligence has introduced new and innovative developments in the public transport that are progressing towards Autonomous Vehicles, or Robot Vehicles. Consequently, this highly sophisticated technology is projected to revolutionize the automotive field.The prototype EV autonomous vehicle presented in this paper is a jointly designed by the Taiwan-based Acer Company and STUST University. The main control system is realized with a CompactRIO controller for real-time IVN (In-Vehicle Networking) signal processing and communication. An NB-IOT function based hardware SIM7000_TE [1] is employed for vehicle-to-cloud communication. Based on this scheme, associated data, such as speed, location and time, can be obtained and stored in the cloud database."
9267927,Cooperative Multiple Formation Control of Autonomous Marine Vehicles,"The general problem of Cooperative Control of multiple heterogeneous vehicles in the presence of severe communication constraints and external disturbances is pervasive in a large spectrum of scientific and commercial applications where groups of vehicles are required to carry out missions that cannot possible be achieved with a single vehicle [1] . It is important to stress that cooperation in the sense adopted here cannot be reduced to scheduling the actions of each and every vehicle in a group using a common time frame according to some pre-defined plan and dispatching specific sub-missions to each vehicle, which will then be asked to execute a specific task with only scarce information being exchanged among the group (.e.g. fast covering of the seabed by using a group of vehicles, each one of them in charge of acquiring visual and acoustic data over specific portions of the terrain). In the scope of many practical scientific and practical applications, far more complex missions must be addressed that require the concerted operation of groups of vehicles towards completion of a given goal (for example, cooperative motion control of ASVs and AUVs for acoustic and visual surveying). In this situation, the vehicles must necessarily exchange motion-related or environmental-related information parsimoniously and fulfil the mission objectives by adopting a distributed (non-centralized) decision architecture."
9310743,Space-air-ground integrated vehicular network for connected and automated vehicles: Challenges and solutions,"Unlimited and seamless coverage as well as ultra-reliable and low-latency communications are vital for connected vehicles, in particular for new use cases like autonomous driving and vehicle platooning. In this paper, we propose a novel Space-Air-Ground integrated vehicular network (SAGiven) architecture to gracefully integrate the multi-dimensional and multi-scale context-information and network resources from satellites, High-Altitude Platform stations (HAPs), low-altitude Unmanned Aerial Vehicles (UAVs), and terrestrial cellular communication systems. One of the key features of the SAGiven is the reconfigurability of heterogeneous network functions as well as network resources. We first give a comprehensive review of the key challenges of this new architecture and then provide some up-to-date solutions on those challenges. Specifically, the solutions will cover the following topics: (1) space-air-ground integrated network reconfiguration under dynamic space resources constraints; (2) multi-dimensional sensing and efficient integration of multi-dimensional context information; (3) real-time, reliable, and secure communications among vehicles and between vehicles and the SAGiven platform; and (4) a holistic integration and demonstration of the SAGiven. Finally, it is concluded that the SAGiven can play a key role in future autonomous driving and Internet-of-Vehicles applications."
9351650,Stability Control of Autonomous Ground Vehicles Using Control-Dependent Barrier Functions,"In the development of autonomous ground vehicles (AGVs), guaranteeing vehicle driving safety is a major concern. Among various aspects that need to be thoughtfully considered for driving safety, vehicle stability is one of the most fundamental and important factors. In this paper, to describe a guaranteed vehicle stability control problem, a new time-varying control-dependent invariant set is introduced. Correspondingly, the concept of a time-varying control-dependent barrier function (CDBF) is proposed. The proposed time-varying CDBF is more general than conventional control barrier functions (CBF), since we additionally consider invariant sets that can be time-varying and control-dependent, which will have broader applications. Then, using the proposed framework, we design a vehicle stability control algorithm, which guarantees that the vehicle states are always kept in the time-varying and control-dependent lateral stability regions. Finally, the correctness and effectiveness of the proposed theory and control method are verified and discussed through illustrative simulation results of high-speed J-turn and double lane change maneuvers for an AGV."
9501418,Modeling an Autonomous Vehicle Group Control System as a Hybrid Automaton and its Specification and Verification in Rewriting Logic,"In recent years, autonomous vehicle technology has developed rapidly. For a secure and efficient city that will have a large quantity of such autonomous vehicles, we need to control not only individual vehicles but also collective vehicles. We investigate a control system for autonomous vehicle groups based on a hybrid automaton and verify it with rewriting logic in Maude system."
9024852,Design of an autonomous electric single-seat vehicle based on environment recognition algorithms,"Today's autonomous vehicles are equipped with a variety of sensors, control techniques and actuators depending on the objectives and requirements of the addressing issue. In research, some even employ commercial cars to house their devices. The high cost of all these components represents a limitation in the development of an autonomous vehicle system. Therefore, researchers have no option but to rely on experimentation under simulated environments or to use small vehicles that in many cases do not accurately represent a real parametric dynamic system. This article describes the design of an autonomous electric vehicle prototype, which includes control systems, microcontrollers, encoders, motor controllers, LIDAR, and cameras, with the aim of having a reference in the literature that is low-cost and whose program code is employable in a real-life context. The present vehicle, whose structure is based on a conventional tubular go-kart, has been provided with the capability of moving autonomously by using computer vision and artificial intelligence algorithms. This document records the first steps of the design taking into account parameters of a real-life environment and the flexibility of A.I. algorithms."
8734460,Exploring Hydrothermal Deposits with Multiple Autonomous Underwater Vehicles,"This paper presents the results of marine survey of hydrothermal deposits in Okinawa trough area and Izu-Ogasawara ocean area using multiple Autonomous Underwater Vehicles (called “C-AUV2”, “C-AUV3”, “C-AUV4”, and “Hobalin” in this paper). We have developed the compact and low-cost AUV system for multiple vehicle operation and cooperative behavior in Cross-ministerial Strategic Innovation Promotion Program (SIP) [1]-[7]. The system doesn't require the support of dedicated research vessels because of the flexibility of the system. In order to explore the hydrothermal deposit sites, the AUV system obtains the seabed topography using multi-beam echo sounder (MBES) and the optical images of the research area with cameras. In 2018, the cruise for exploration of hydrothermal deposit sites with the multiple vehicles was conducted in Izu-Ogasawara area. The topography obtained with cruising type AUV (“C-AUV2”, “C-AUV3”, “C-AUV4”) can use for zooming up the position of hydrothermal chimney, and hovering type AUV (“Hobalin”) conducts the optical observation of observable areas. Through this cruise, we researched the uninvestigated area, and discovered the hydrothermal chimney from topography and optical images."
9400372,Autosub Long Range 6000: A Multiple-Month Endurance AUV for Deep-Ocean Monitoring and Survey,Autosub Long Range 6000 is a 6000-m-rated autonomous underwater vehicle capable of 2- to 3-month-long deployments covering a range of up to 1800 km. This high endurance is achieved through a combination of the use of high energy-density lithium primary cells and energy optimization for all subsystems. This article uses theory and initial trial results to quantify the power consumption of the system and make predictions for ultimate range and endurance. An overview of early science deployments is also presented.
9497501,A heterogeneous autonomous collaborative system for powerline inspection using human-robotic teaming,"This paper explores a novel system architecture of heterogeneous collaborative system for powerline inspection using human-robotic teaming. The research uses Quanser's Autonomous QCar and QDrone to demonstrate the results. This heterogeneous powerline inspection system consists of three separately controlled elements that work collaboratively within a centralized controlled space and those individual elements are as follows: 1) A control system operated by the human that takes cares of the Autonomous car and drone functionality, 2) An autonomous unmanned ground vehicle system that will take tasks from the human control system to drive through the path determined, and 3) An autonomous unmanned aerial vehicle system that conducts the powerline search and inspection within a specified range. All three systems operate together as one heterogeneous system, which demonstrates the application of human-robotic teaming. This paper will demonstrate how the proposed system architecture is constructed and the results obtained from it in an indoor environment is discussed."
