id,title,abstract
9613914,Human-Inspired Camera: A Novel Camera System for Computer Vision,"Computer vision models aim to emulate biological design so that systems can perform meaningful tasks. We believe that the underlying processes of the human visual system hold the keys to further improving the performance of such computer vision solutions. This exploratory paper investigates the swaying motion of human vision when walking to develop a novel camera system. We successfully demonstrate that this design is able to improve performance in computer vision tasks, such as monocular depth estimation."
9499877,Development of a Computer Vision Interactive Game for Supporting Dental Care Education in Taiwan,"Dental care is important to pupils in elementary school since it affects their physical and mental development significantly. Therefore, dental care education is an important issue for governments around the world. Based on this, this study proposed a computer vision interactive game for supporting dental care education in Taiwan. Different from traditional lecture-based instruction, this study developed an interactive educational game that applied artificial intelligence technology to develop a computer vision service for recognizing pupils' dental photos and thus engaged pupils in playing an interactive game to prevent caries. To evaluate the proposed approach, an experiment was conducted in an elementary school and twenty-one fifth grade students was asked to participant in the experiment. The results indicated that the proposed approach can improve students' learning motivation, learning attitude, and learning achievement."
9270498,Research on Image Processing Technology of Computer Vision Algorithm,"With the gradual improvement of artificial intelligence technology, image processing has become a common technology and is widely used in various fields to provide people with high-quality services. Starting from computer vision algorithms and image processing technologies, the computer vision display system is designed, and image distortion correction algorithms are explored for reference."
9400438,Adaptable Architecture for the Development of Computer Vision Systems in FPGA,"Computer vision systems are increasingly used in industry for inspection or process control. The more demanding requirements observed today make the implementation of this type of systems a technological challenge. Many of the computational architectures available allow us to meet the main functional requirements related to the use case and also the non-functional ones, such as processing time restrictions and connectivity. However, the requirement for adaptability so that such systems can be easily modified to meet different use cases or even accommodate environmental changes remains a challenge. This work proposes a flexible architecture for computer vision systems using FPGA. This architecture combines components of the processing flow of the vision system implemented in hardware and software to obtain advantages associated with both approaches. The proposed solution is validated against different real use cases existing in the industry. The results obtained allow us to affirm that such architecture brings an interesting advantages since it meets the operational requirements present in industrial applications, demands less development effort and can be easily adapted to new usage scenarios."
9121137,Controlling Mouse Motions Using Eye Tracking Using Computer Vision,"This paper introduces an algorithm to carry out the functions of a mouse by providing a hands-free interaction between humans and computers. It provi des an alternative to the traditional mouse computer. By using different expressions of a face using computer vision and matching it with already stored expression and execute actions as per the move. This algorithm will help physically disabled people to perform the functions of a mouse using their face and eye movement. It allows them to left-click, right-click, scroll up and down, move the cursor up, down, left, right. The system has a very basic need like webcam, NumPy, dlib, and a few other basic libraries."
8932817,Computer Vision Based Distance Measurement System using Stereo Camera View,"In recent years, especially in industrial automation systems, in order for robots to understand their distances and positions according to the target, close to human vision, computer vision systems are needed. Computer vision close to human vision can only be created using stereo cameras. In this study, a computer vision system is developed using the stereo camera system for measuring object distances. In the study, first of all, for the distance measurement, the distance of the face images obtained from the stereo camera system to the screen is calculated. In measuring the distances of the face images to screen, the disparity maps are first extracted and the face region is detected. Afterwards, the distance measurements are performed on the obtained images in the stereo camera system on account of calculating the shifts between the frames. In the experimental studies, the actual distance values such as 71, 74, 75, 79, 110, 125, and 115 of the face to the screen are measured as 70, 72, 73, 77, 97, 120, 132 cm by proposed system, respectively. When the experimental results are examined, we can say that the proposed computer vision system is successful in distance measurement using stereo camera view."
9116906,From Brain Decoding To Brain-Driven Computer Vision,"Brain driven computer vision includes methods and tools for computer vision inspired by the human brain. Brain driven includes computer vision are brain visual representation decoding, understanding and learning. In this paper, we focus on the brain decoding and review on research in this field. In addition, we review and introduce its main approaches and its application in computer vision."
9270494,The Application of Computer Vision in Responding to the Emergencies of Autonomous Driving,"Nowadays, artificial intelligence is developing rapidly, and greatly promotes the appearance of relevant industries. Automated driving is one of those hot industries. With the development of autonomous vehicles, higher requirements such as intervention when an accident or system failure occurs mean more problems. Many shortcomings arose during emergencies. For example, the system cannot make a correct judgment in a short time and calculate the most suitable solution. This paper analyzes several algorithms for emergency situations at the current stage of autonomous vehicles from the perspective of computer vision. In addition, this paper finds suitable algorithms by collecting, collating and researching literature. Although these algorithms can solve the problems in most cases, there are still defects. For example, there are problems such as incomplete consideration and insufficient optimization. This paper also proposes possible solutions to the defects of each algorithm: The algorithm of edge recognition algorithm under extreme weather is added. Besides, the HMM model is used to optimize the pedestrian motion recognition algorithm. In addition, the standard of driver behavior recognition is also optimized. It is hoped that autonomous vehicles will have a more comprehensive emergency handling system in the future such as faster emergency response and more accurate decision."
9182641,A perspective transformation method based on computer vision,"Blind spots are ubiquitous in everyday life, such as A-pillar blind spot caused by the structure of a car, A visual blind area on the opposite side of a turning road and so on. The problem of visual blindness has always brought many security risks to people's daily life, especially some scenes that need to make an instant response. The existence of visual blindness will greatly affect our judgment and even the safety of life. We use to decorate the obstacles on the other side of the fisheye camera, image cutting by providing a series of OpenCV function and simulate the shape of the obstacles that block area and effect, and by installing in the human side of camera to capture the human eye coordinates information, using the affine transformation, made in the image on the screen close to the human eye can see the picture “perspective” obstacles, to achieve the effect of perspective. The system has a simple structure and can be installed in a fixed place to solve the problem of visual blindness."
9022143,Why Does Data-Driven Beat Theory-Driven Computer Vision?,"This paper proposes that despite the success of deep learning methods in computer vision, the dominance we see would not have been possible by the methods of deep learning alone: the tacit change has been the evolution of empirical practice in computer vision. We demonstrate this by examining the distribution of sensor settings in vision datasets, only one potential dataset bias, and performance of both classic and deep learning algorithms under various camera settings. This reveals a strong mismatch between optimal performance ranges of theory-driven algorithms and sensor setting distributions in common vision datasets."
