id,title,abstract
9289303,An Uplink Transmission Scheme for TSN Service in 5G Industrial IoT,"For 5G based Industrial IoT, new system structure for providing Time Sensitive Network service has been introduced and data transmission method has being studied in 3GPP. Among the detailed techniques for 5G IIoT, we propose a scheme for low-latency transmission and resource management based on configured grant scheduling to solve the problem caused by the mismatch between the service period of the TSN data flow and the pre-configured radio resource allocation period."
9213047,SDNFV 5G-IoT: A Framework for the Next Generation 5G enabled IoT,"There is a demand from the next generation of technology in the modern age of communication, which can help reform and include the world in seamless connectivity through trigonous smart devices. Modern wireless standards such as 5G have been popularized for their faster transmission speed or high-speed access, low latency, and omnipresent coverage. The exponential growth of 5G networks will boost with recent innovations like IoT that will improve cellular operations, network problems, and drive the internet's future to the brink. So in the future 5G in IoT will prove to be a game-changer and open a door to new IoT infrastructure and smart services. IoT requires new requirements for success such as broad bandwidth, security, high-speed, high-speed, and high-level coverage. We first consider the 5G-IoT architecture in this paper, which gives a basic idea about 5G activated IoT. Then, along with major technologies like Software Defined Networking (SDN), Cloud Computing, and Network Function Virtualization (NFV). We introduced a new layered architecture for 5G powered IoT. Finally, we analyzed the proposed 5G enabled IoT system architecture."
9622452,"AI, 5G, and IoT","stract:
The world of Artificial Intelligence (AI), fifth‐generation data networks (5G), and the rapidly growing Internet of Things (IoT) devices can be beneficial to us, but also present numerous flaws as they are all new and rapidly developing technologies. AI technology is growing from ordinary scientists’ simple tools to as far as the use within the professional development community for higher intelligence use. 5G with the Industrial IoT is a merger of the internet, intelligence, and electronic devices, all of which will be routed through the developing 5G network. Today's technological advancements, combined with the development of the IoT technology, put the automotive industry under a lot of pressure for a rapid transition to modern technology in a vehicle. The agricultural industry can use wireless sensors combined with the IoT devices that use specialized communication techniques to process and analyze gathered field information to improve the agricultural industry."
9261551,Provision of IoT Services for CO-Located 4G/5G Networks Utilisation with Dynamic Frequency Sharing,"In accordance ITU and 3GPP 5G-business models over 60% 5G application will be used in future IoT-networks with business models as URLLC/massive URLLC and massive MTC (mIoT). The 3.5 GHz band is one of the most popular frequency bands for initial phase of 5G network development for business model eMBB/xMBB. Accordance GSA information, more than 105 networks of 5G were deployed in 41 countries in August 2020. Additionally, 43 of 105 networks will be operating within C-band. But low bands which are below than 3,5 GHz were allocated 3GPP for 5G aims are more applicable for 5G IoT-networks development due to a huge network coverage and high penetration of radio waves into buildings. But low 3GPP bands of 5G are used 2G/3G and 4G networks. That's why the study of Spectrum sharing methods are high actuality for 5G IoT-networks development. In the article considered utilization of one of Spectrum sharing method based on Dynamic Spectrum Sharing (DSS) for 4G/5G co-located networks used IoT business model with massive IoT."
8879484,A Comprehensive Survey on Internet of Things (IoT) Toward 5G Wireless Systems,"Recently, wireless technologies have been growing actively all around the world. In the context of wireless technology, fifth-generation (5G) technology has become a most challenging and interesting topic in wireless research. This article provides an overview of the Internet of Things (IoT) in 5G wireless systems. IoT in the 5G system will be a game changer in the future generation. It will open a door for new wireless architecture and smart services. Recent cellular network LTE (4G) will not be sufficient and efficient to meet the demands of multiple device connectivity and high data rate, more bandwidth, low-latency quality of service (QoS), and low interference. To address these challenges, we consider 5G as the most promising technology. We provide a detailed overview of challenges and vision of various communication industries in 5G IoT systems. The different layers in 5G IoT systems are discussed in detail. This article provides a comprehensive review on emerging and enabling technologies related to the 5G system that enables IoT. We consider the technology drivers for 5G wireless technology, such as 5G new radio (NR), multiple-input-multiple-output antenna with the beamformation technology, mm-wave commutation technology, heterogeneous networks (HetNets), the role of augmented reality (AR) in IoT, which are discussed in detail. We also provide a review on low-power wide-area networks (LPWANs), security challenges, and its control measure in the 5G IoT scenario. This article introduces the role of AR in the 5G IoT scenario. This article also discusses the research gaps and future directions. The focus is also on application areas of IoT in 5G systems. We, therefore, outline some of the important research directions in 5G IoT."
9418471,Future Trends and Challenges in Next Generation Smart Application of 5G-IoT,"5G (The Fifth generation) is the state-of-the-art technology, which has the potential to create new interfaces for the daily used devices and networking components. To communicate with devices, wireless technologies are generally used and also 5G plays a major role in connecting larger number of users to provide smarter and faster communications. This is majorly designed for achieving better coverage, bandwidth, reliability & latency, which can grow faster across the globe. Basically, the concept behind the 5G and wireless technology is to reduce the load & stabilize the technical solutions to enable applications for better mobile communication and utilized with latest applications in the business area. The current 4G network i.e long term evolution advanced (LTE - A) is not as good as 5G for meeting the demands of multiple unified communication devices that requires a very high data speed , low latency quality of service (QoS) , higher bandwidth and negligence interference. Henceforth, IoT (Internet of Things) & 5G plays a major role in mobile applications & network for e.g. health applications, smart watches, smart cities, smart cards, beacons, etc. The concept of 5G & IoT along with its implementation, specifications, potential challenges and other similar parameters related to the modern 5G technology are discussed in this paper."
8888600,Flexible W-Band Rectifiers for 5G-powered IoT Autonomous Modules,"The new regulatory and technological mm-wave landscape has opened a plethora of opportunities for the powering of flexible and wearable IoT motes, powered by the harvesting of such electromagnetic waves. Nevertheless, the availability and integration of rectifying diodes for such devices are a source of challenges. In this effort, the authors chose a potential candidate of a rectifying element, a W-band Zero-Bias Detector, and analyzed its characteristics, by fine-tuning a set of rectifiers covering all of the aforementioned bands, ranging from 24GHz to 81GHz. The simulated performance of these flexible rectifiers was analyzed and demonstrated their adequate harvesting performance for this application. This study thereby sets the foundation for the development of a new class of low-cost flexible and printable 5G-powered IoT devices and systems."
9255802,An Energy Harvesting Solution for IoT Devices in 5G Networks,"Internet of Things (IoT) and IoT applications will experience significant growth as the fifth-generation (5G) of wireless technology matures and becomes more widely adopted. How to power on billions of low power wireless IoT devices has initiated a new interest in energy harvesting. The 5G technology will open new opportunities to design circuits to efficiently extract energy from millimeter waves to power on IoT devices. In this paper, an energy harvesting circuit is designed and simulated using Advanced Design System (ADS) which is compatible with 5G technology. A microstrip patch antenna with -17.35 dB return loss at 11.02 GHz is designed and implemented. A rectifier using a Schottky diode is also designed to operate at high frequencies. Simulation results indicate that the proposed solution can extract energy from incoming waves at 11.02 GHz and generate 1.18 V across an IoT sensor with an efficiency of 87%."
9390598,Design of 5G-oriented Computing Framework for The Edge Agent Used in Power IoT,"The goal of the edge computing framework is to solve the problem of management and control in the access of massive 5G terminals in the power Internet of things. Firstly, this paper analyzes the needs of IOT agent in 5G ubiquitous connection, equipment management and control, intelligent computing and other aspects. In order to meet with these needs, paper develops the functions and processes of the edge computing framework, including unified access of heterogeneous devices, protocol adaptation, edge computing, cloud edge collaboration, security control and so on. Finally, the performance of edge computing framework is verified by the pressure test of 5G wireless ubiquitous connection."
9622446,"Artificial Intelligence, 5G, and IoT","stract:
Most researchers have turned to Artificial Intelligence (AI) to tackle big data problems. There have been two main motivations to expand the Internet of Things (IoT). The first one is to increase the amount of information shared by databases and objects in the real world. The second one is to enable users to share information and control objects in the real world. The contemporary trends of AI research encompass key systems and various application areas. AI works by developing new algorithms and models based on machine learning. AI, 5G, and IoT advances are enhancing each other, making the fifth wave of computing. There have been some significant developments in Cybersecurity. IoT security has been an issue of concern in numerous organizations as modern advances are rising within the market. Organizations have to be mindful of the security dangers confronting IoT and provide fitting measures for anticipating the assaults."
