id,title,abstract
9260345,Calculation of Chinese-Thai Cross-Language Similarity Based on Sentence Embedding,"In view of the poor accuracy, efficiency and scalability of the existing cross-language sentence similarity calculations, the Chinese- Thai cross-language sentence similarity is less studied. A new method is proposed. First, preprocess the corpus for Chinese-Thai parallel sentences, the sentence embedding model is used to obtain the Chinese-Thai sentence embedding matrix, and the sentence embedding is normalized. Then, the cross-language mapping model is used to embed the sentence. The conversion matrix is obtained through processing, and the orthogonal optimization of the conversion matrix is performed. Finally, the Chinese sentence embedding is mapped to the Thai sentence embedding space, and the Chinese- Thai cross-language sentence similarity is obtained by calculating the cosine of the two vectors, which provides a new idea for the Chinese-Thai cross-language sentence similarity calculation. The experimental results show that the method has good accuracy."
8611098,Jointly Learning Topics in Sentence Embedding for Document Summarization,"Summarization systems for various applications, such as opinion mining, online news services, and answering questions, have attracted increasing attention in recent years. These tasks are complicated, and a classic representation using bag-of-words does not adequately meet the comprehensive needs of applications that rely on sentence extraction. In this paper, we focus on representing sentences as continuous vectors as a basis for measuring relevance between user needs and candidate sentences in source documents. Embedding models based on distributed vector representations are often used in the summarization community because, through cosine similarity, they simplify sentence relevance when comparing two sentences or a sentence/query and a document. However, the vector-based embedding models do not typically account for the salience of a sentence, and this is a very necessary part of document summarization. To incorporate sentence salience, we developed a model, called CCTSenEmb, that learns latent discriminative Gaussian topics in the embedding space and extended the new framework by seamlessly incorporating both topic and sentence embedding into one summarization system. To facilitate the semantic coherence between sentences in the framework of prediction-based tasks for sentence embedding, the CCTSenEmb further considers the associations between neighboring sentences. As a result, this novel sentence embedding framework combines sentence representations, word-based content, and topic assignments to predict the representation of the next sentence. A series of experiments with the DUC datasets validate CCTSenEmb's efficacy in document summarization in a query-focused extraction-based setting and an unsupervised ILP-based setting."
8679121,Question Understanding Based on Sentence Embedding on Dialog Systems for Banking Service,"This paper introduce a question understanding system to respond appropriate answers in a dialog system for banking services. The question understanding system provides an automated response service in a specific domain (e.g. banking). This can increase response rate of a customer counseling service, and improve business efficiency and expertise. The question understanding system classify domains, specific categories, and speech acts of questions. Finally, the system analyze meanings and intents of the questions, and searching correct answers even various input sentences. In this paper, we describe methods of keyword tokenizing, pattern recognition, sentence embedding, analyzing dialogue intention, and searching similar FAQs. Through these methods, we have developed the question understanding unit in a real interactive system for financial services for real insurance companies and banks, and analyze the usefulness of the system through practical system implementation examples."
9749108,TA-SBERT: Token Attention Sentence-BERT for Improving Sentence Representation,"A sentence embedding vector can be obtained by connecting a global average pooling (GAP) to a pre-trained language model. The problem of such a sentence embedding vector using a GAP is that it is generated with the same weight for all words appearing in the sentence. We propose a novel sentence embedding-method-based model Token Attention-SentenceBERT (TA-SBERT) to address this problem. The rationale of TA-SBERT is to enhance the performance of sentence embedding by introducing three strategies. First, we convert the base form while preprocessing the input sentence to reduce misunderstanding. Second, we propose a novel Token Attention (TA) technique that distinguishes important words to produce more informative sentence vectors. Third, we increase stability of fine-tuning to avoid catastrophic forgetting by adding a reconstruction loss to the word embedding vector. Extensive ablation studies demonstrate that our TA-SBERT outperforms the original SentenceBERT (SBERT) in the sentence vector evaluation using semantic textual similarity (STS) tasks and the SentEval toolkit."
9071098,Empirical Study of Sentence Embeddings for English Sentences Quality Assessment,"Novel deep learning and machine translation techniques have greatly advanced the field of computational linguistics enabling us to find meaningful latent spaces for text analysis. While several embedding techniques exist for words, sentences, and entire documents, the potential applications are still being explored. In this paper we present the impact of top-performing sentence embedding methodologies on the accuracy of a neural model trained to assess the quality of English sentences. We focus our efforts in the methodologies called Language Agnostic SEntence Representation (LASER), Sentence to Vector (S2V), and Universal Sentence Encoder (USE) to observe their ability to capture information related to sentence quality. Our study suggests that these state-of-the-art sentence embeddings are unable to capture sufficient information regarding sentence correctness and quality in the English language."
8945681,News Title Classification Based on Sentence-LDA Model and Word Embedding,"Due to the severe data sparsity problem, conventional text classification methods are difficult to achieve good results in news title classification. In this paper, we design a novel news title classification method, referred as Word-Embedding-based Sentence-LDA (WESL) model. WESL employs the Sentence-LDA model to distill topic vectors from news titles, and FastText is used to learn word distributed representations. Furthermore, the proposed model expands the features of news titles by combining word and topic vectors. Finally, we utilize a Support Vector Machine (SVM) to classify news titles, and the classification results are evaluated using the precision, recall and F1-value. The experimental results illustrate that our method can significantly enhance classification performance."
9283681,An Improved Weighted-Removal Sentence Embedding Based Approach for Service Recommendation,"Currently, there is a large amount of information about user requirements and service in natural language. How to measure the semantic similarity between user requirements and service description is a critical issue in service recommendation and service solution construction. In this paper, we propose a service recommendation method based on the improved Weighted-Removal(WR) sentence embedding to solve the shortcomings of traditional information retrieval methods. After data preprocessing, we use the GloVe method to obtain the word vectors and use the improved WR sentence embedding method to obtain the sentence vectors. The similarity between the vectors can be better measured. The experimental results show that the proposed improved WR method is significantly better than the traditional methods in terms of recommendation accuracy, richness, and ranking."
9288330,Sentence Pair Similarity Modeling Based on Weighted Interaction of Multi-semantic Embedding Matrix,"In this paper, we focus on measuring the similarity of sentence pair. Noting that a single sentence vector may lose fine-grained semantic information which is important for sentence matching, we propose an embedding matrix to calculate a multi-granularity similarity matrix and find the true semantic alignment of two sentences. We also propose a semantic importance calculation and semantic decomposition that are simple but effective. The proposed model does not require any sparse features or external resources such as WordNet. Compared with other state-of-the-art models, we successfully train in a short time and achieve competitive results on similarity measurement and paraphrase identification tasks. Experiments and visual analysis show the good performance and interpretability of the model."
9660801,Clustering and Network Analysis for the Embedding Spaces of Sentences and Sub-Sentences,"Sentence embedding methods offer a powerful approach for working with short textual constructs or sequences of words. By representing sentences as dense numerical vectors, many natural language processing (NLP) applications have improved their performance. However, relatively little is understood about the latent structure of sentence embeddings. Specifically, research has not addressed whether the length and structure of sentences impact the sentence embedding space and topology. This paper reports research on a set of comprehensive clustering and network analyses targeting sentence and sub-sentence embedding spaces. Results show that one method generates the most clusterable embeddings. In general, the embeddings of span sub-sentences have better clustering properties than the original sentences. The results have implications for future sentence embedding models and applications."
9378337,Sent2Vec: A New Sentence Embedding Representation With Sentimental Semantic,"Text classification is considered as one of the primary task in many Natural Language Processing (NLP) applications. In industrial applications of NLP, sentimental analysis is a task to understand how satisfied a user is after receiving a service or buying a product. The traditional approach is to convert a text into a format of numeric vector before feeding into machine learning algorithm. This representation of a word refers to word embedding. However the traditional embedding methods often model the syntactic context of words but ignore the sentiment information of text [1]. This can impact on the accuracy of a classification model to predict the correct sentimental score for a text. In this paper, we present Sent2Vec, an alternative embedding representation that includes the sentimental semantic of a sentence in its embedding vector. We utilized the unsupervised Smoothed Inverse Frequency (uSIF) sentence embedding method in the Sent2Vec neural network over a multi million samples dataset. The new sentence embedding presented, can be used as features in downstream (un)supervised tasks, which also leads to better or comparable results compared to sophisticated methods. Furthermore, with a simple logistic regression classifier, Sent2Vec reaches competitive performance to state-of-the-art results on several datasets when combined with GloVe(6B)."
9164354,The Acquisition of Khmer-Chinese Parallel Sentence Pairs From Comparable Corpus Based on Manhattan-BiGRU Model,"Bilingual parallel sentence pairs are an important resource for cross-lingual processing. Aiming at the shortage of Khmer-Chinese parallel texts and the complex structure of research methods, a method of obtaining Khmer-Chinese parallel sentence pairs from comparable corpus based on Manhattan-BiGRU model is proposed. In this method, feature information and bilingual word embedding are concatenated together and then jointly used as input. Then the word embedding is coded into sentence embedding through the BiGRU network. Finally, the similarity of sentence embedding is calculated according to the Manhattan distance algorithm, it achieves the acquisition of parallel sentence pairs. Compared with other methods of obtaining parallel sentence pairs based on neural network model, the experimental results show that this method achieves good results, in which the accuracy of obtaining parallel sentence pairs reaches 82.2% and the recall rate reaches 70.7%."
